Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
D,221,Coleman,4.3,4.3,Everton,8,0.28,10,0.46,13,0.39,0.00
M,222,Gana,4.8,4.8,Everton,84,2.17,82,2.63,79,1.94,0.00
M,223,Garner,4.9,4.9,Everton,69,2.10,69,2.71,67,1.92,0.00
M,224,Harrison,5.2,5.2,Everton,38,1.70,40,2.40,40,1.66,0.00
D,225,Holgate,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0.00
M,226,Iroegbunam,4.3,4.3,Everton,10,0.43,15,0.65,17,0.64,0.00
G,227,J.Virginia,3.8,3.8,Everton,1,0.05,3,0.11,2,0.08,0.00
D,228,Keane,3.8,3.8,Everton,30,0.88,35,1.60,35,0.80,0.00
F,229,Maupay,4.9,4.9,Everton,0,0.00,0,0.00,0,0.00,0.00
M,230,McNeil,5.1,5.1,Everton,69,2.67,67,3.77,65,2.38,0.00
D,231,Mykolenko,4.3,4.3,Everton,90,2.55,86,4.00,83,1.81,0.05
F,232,Ndiaye,5.2,5.2,Everton,61,2.56,61,3.48,62,2.41,0.00
M,233,Onana,4.8,4.8,Aston Villa,33,1.29,30,1.37,19,0.85,0.00
D,234,Patterson,4.4,4.4,Everton,57,1.82,59,2.85,60,1.48,0.00
G,235,Pickford,5.1,5.1,Everton,93,3.27,92,3.92,93,3.10,0.02
D,236,Tarkowski,4.8,4.8,Everton,0,0.00,0,0.00,0,0.00,0.00
F,237,Y. Chermiti,4.9,4.9,Everton,0,0.00,0,0.00,1,0.09,0.00
D,238,Young,4.2,4.2,Everton,13,0.43,18,0.84,19,0.56,0.00
M,239,Adama,4.5,4.5,Fulham,24,1.33,22,1.18,21,1.06,0.00
M,240,Andreas,4.9,4.9,Fulham,64,3.21,55,2.46,48,2.14,0.00
D,241,Bassey,4.5,4.5,Fulham,90,3.55,87,2.14,86,1.98,0.00
G,242,Benda,3.9,3.9,Fulham,2,0.06,2,0.08,3,0.09,0.00
M,243,Cairney,4.8,4.8,Fulham,25,1.18,23,1.00,14,0.64,0.00
D,244,Castagne,4.2,4.2,Fulham,0,0.00,0,0.00,0,0.00,0.00
D,245,Diop,4.3,4.3,Fulham,16,0.60,24,0.69,24,0.67,0.00
M,246,Harris,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0.00
M,247,Iwobi,5.6,5.6,Fulham,80,3.80,78,3.21,76,3.01,0.00
G,248,Leno,5.0,5.0,Fulham,94,3.88,93,3.29,92,3.16,0.00
M,249,Lukić,4.8,4.8,Fulham,0,0.00,34,1.07,66,1.97,0.00
D,250,Mbabu,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0.00
F,251,Muniz,5.5,5.5,Fulham,0,0.00,0,0.00,0,0.00,0.00
F,252,Raúl,5.3,5.3,Fulham,86,4.88,82,4.12,79,3.90,0.02
D,253,Ream,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0.00
M,254,Reed,4.7,4.7,Fulham,0,0.00,0,0.00,0,0.00,0.00
D,255,Robinson,4.8,4.8,Fulham,76,3.27,87,2.32,84,2.12,0.01
F,256,Stansfield,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0.00
D,257,Tete,4.4,4.4,Fulham,86,3.87,84,2.44,81,2.21,0.00
F,258,Vinicius,5.0,5.0,Fulham,4,0.34,7,0.47,8,0.51,0.00
M,259,Wilson,5.2,5.2,Fulham,56,3.12,53,2.60,49,2.38,0.00
F,260,Al-Hamadi,4.7,4.7,Ipswich,0,0.00,0,0.00,0,0.00,0.00
D,261,Baggott,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0.00
M,262,Broadhead,4.9,4.9,Ipswich,0,0.00,11,0.66,24,1.32,0.00
D,263,Burgess,3.8,3.8,Ipswich,73,1.52,56,1.74,55,1.57,0.00
M,264,Burns,4.7,4.7,Ipswich,0,0.00,0,0.00,0,0.00,0.00
M,265,Chaplin,5.1,5.1,Ipswich,24,1.28,19,1.14,17,0.97,0.00
D,266,H.Clarke,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0.00
D,267,Davis,4.2,4.2,Ipswich,0,0.00,81,3.10,76,2.73,0.00
F,268,Delap,5.6,5.6,Ipswich,74,3.70,73,3.96,71,3.73,0.00
D,269,Edmundson,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0.00
D,270,Greaves,3.8,3.8,Ipswich,78,1.63,56,1.73,55,1.54,0.00
M,271,Harness,4.9,4.9,Ipswich,0,0.00,0,0.00,0,0.00,0.00
F,272,Hirst,5.4,5.4,Ipswich,26,1.46,24,1.50,25,1.48,0.00
M,273,Humphreys,4.5,4.5,Ipswich,0,0.00,0,0.00,0,0.00,0.00
M,274,Hutchinson,5.2,5.2,Ipswich,82,3.06,76,3.12,75,2.99,0.00
D,275,Johnson,3.8,3.8,Ipswich,60,1.67,50,1.92,45,1.61,0.00
F,276,Ladapo,4.5,4.5,Ipswich,0,0.00,0,0.00,0,0.00,0.00
M,277,Luongo,4.3,4.3,Ipswich,3,0.18,3,0.20,4,0.25,0.00
M,278,Morsy,4.8,4.8,Ipswich,72,1.86,71,1.96,69,1.86,0.00
D,279,Ndaba,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0.00
G,280,Slicker,3.9,3.9,Ipswich,0,0.00,0,0.00,0,0.00,0.00
M,281,Taylor,4.8,4.8,Ipswich,33,1.26,28,1.16,26,1.07,0.00
D,282,Tuanzebe,3.9,3.9,Ipswich,62,1.36,54,1.72,52,1.53,0.00
G,283,Walton,4.3,4.3,Ipswich,2,0.06,3,0.10,4,0.15,0.00
D,284,Woolfenden,3.9,3.9,Ipswich,36,0.78,33,1.00,34,0.96,0.00
M,285,B.Soumaré,4.4,4.4,Leicester,55,1.42,56,1.65,56,1.41,0.00
F,286,Cannon,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0.00
M,287,Choudhury,4.4,4.4,Leicester,0,0.00,0,0.00,0,0.00,0.00
D,288,Coady,4.0,4.0,Leicester,86,1.59,85,2.86,83,1.16,0.00
F,289,Daka,4.8,4.8,Leicester,26,1.26,29,1.81,30,1.41,0.00
M,290,De Cordova-Reid,5.2,5.2,Leicester,0,0.00,0,0.00,0,0.00,0.00
D,291,Faes,3.8,3.8,Leicester,90,1.63,87,2.94,84,1.16,0.00
M,292,Golding,4.4,4.4,Leicester,0,0.00,0,0.00,0,0.00,0.00
G,293,Hermansen,4.4,4.4,Leicester,0,0.00,0,0.00,0,0.00,0.00
G,294,Iversen,3.9,3.9,Leicester,0,0.00,1,0.04,2,0.06,0.00
D,295,Justin,4.1,4.1,Leicester,77,1.68,64,2.49,55,0.98,0.00
D,296,Kristiansen,4.4,4.4,Leicester,31,0.85,32,1.33,26,0.62,0.00
M,297,Marcal,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0.00
M,298,Mavididi,5.0,5.0,Leicester,0,0.00,0,0.00,0,0.00,0.00
M,299,McAteer,4.7,4.7,Leicester,46,1.74,45,2.24,43,1.63,0.00
M,300,Ndidi,4.9,4.9,Leicester,87,2.26,82,2.78,81,2.12,0.00
D,301,Okoli,4.0,4.0,Leicester,11,0.23,16,0.55,18,0.32,0.00
D,302,Ricardo,4.1,4.1,Leicester,0,0.00,22,0.93,45,0.98,0.00
D,303,Souttar,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0.00
G,304,Stolarczyk,4.0,4.0,Leicester,94,3.01,92,3.48,92,2.97,0.00
D,305,Thomas,3.9,3.9,Leicester,72,1.52,66,2.47,65,1.07,0.00
F,306,Vardy,5.3,5.3,Leicester,81,3.29,78,4.50,76,3.20,0.01
D,307,Vestergaard,3.9,3.9,Leicester,0,0.00,1,0.05,3,0.07,0.00
G,308,Ward,3.9,3.9,Leicester,0,0.00,2,0.06,1,0.04,0.00
M,309,Winks,4.3,4.3,Leicester,3,0.13,6,0.26,8,0.28,0.00
G,310,A.Becker,5.5,5.5,Liverpool,94,3.70,89,3.43,88,3.76,0.00
D,311,Alexander-Arnold,7.2,7.2,Liverpool,30,1.47,34,1.65,42,2.53,0.01
M,312,Bajcetic,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0.00
D,313,Bradley,4.7,4.7,Liverpool,48,2.11,55,2.29,46,2.41,0.05
M,314,Carvalho,4.5,4.5,Brentford,0,0.00,0,0.00,7,0.45,0.00
M,315,Clark,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0.00
F,316,Darwin,7.0,7.0,Liverpool,31,1.80,33,1.99,33,2.20,0.00
M,317,Diogo J.,7.2,7.2,Liverpool,49,2.89,47,3.07,48,3.54,0.00
M,318,Doak,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0.00
M,319,Elliott,5.2,5.2,Liverpool,23,1.20,26,1.41,27,1.59,0.00
M,320,Endo,4.6,4.6,Liverpool,13,0.54,14,0.60,17,0.75,0.00
F,321,Gakpo,7.2,7.2,Liverpool,52,2.69,50,2.83,50,3.07,0.00
D,322,Gomez,4.7,4.7,Liverpool,0,0.00,13,0.45,27,1.17,0.00
M,323,Gravenberch,5.0,5.0,Liverpool,77,2.56,75,2.54,70,2.62,0.00
M,324,Jones,5.3,5.3,Liverpool,48,1.99,43,1.94,45,2.22,0.00
G,325,Kelleher,4.0,4.0,Liverpool,0,0.00,6,0.21,6,0.27,0.00
D,326,Konaté,5.3,5.3,Liverpool,81,2.93,75,2.55,71,3.12,0.02
M,327,Luis Díaz,7.5,7.5,Liverpool,62,3.43,59,3.40,59,3.86,0.00
M,328,M.Salah,13.7,13.2,Liverpool,81,5.62,79,5.82,76,6.71,0.82
M,329,Mac Allister,6.2,6.2,Liverpool,77,2.93,74,2.94,73,3.35,0.00
M,330,McConnell,4.3,4.3,Liverpool,0,0.00,0,0.00,0,0.00,0.00
M,331,Morton,4.4,4.4,Liverpool,0,0.00,0,0.00,2,0.10,0.00
D,332,N.Phillips,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0.00
D,333,Quansah,3.9,3.9,Liverpool,24,0.89,23,0.78,21,0.88,0.00
D,334,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0.00
D,335,Robertson,5.8,5.8,Liverpool,59,2.71,56,2.50,55,3.16,0.00
M,336,Szoboszlai,6.2,6.2,Liverpool,60,3.05,58,3.10,55,3.31,0.00
D,337,Tsimikas,4.6,4.6,Liverpool,34,1.60,37,1.63,36,1.99,0.00
D,338,Van den Berg,4.1,4.1,Brentford,88,3.61,86,3.06,84,2.75,0.00
D,339,Virgil,6.7,6.7,Liverpool,85,3.04,81,2.68,77,3.40,0.01
D,340,Akanji,5.3,5.3,Man City,52,2.57,50,2.06,48,1.83,0.00
D,341,Aké,5.3,5.3,Man City,0,0.00,28,1.30,40,1.66,0.00
M,342,Bernardo,6.1,6.1,Man City,46,2.54,48,2.29,44,1.89,0.00
M,343,Bobb,4.7,4.7,Man City,0,0.00,7,0.47,9,0.52,0.00
G,344,Carson,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0.00
M,345,De Bruyne,9.6,9.6,Man City,73,5.78,70,4.65,66,3.77,0.12
M,346,Doku,6.2,6.2,Man City,55,3.48,50,2.77,48,2.40,0.00
G,347,Ederson M.,5.3,5.3,Man City,93,4.11,89,3.56,88,3.45,0.00
M,348,Foden,9.1,9.1,Man City,34,2.83,30,2.19,27,1.69,0.00
M,349,Grealish,6.4,6.4,Man City,14,0.97,15,0.96,14,0.77,0.00
D,350,Gvardiol,6.4,6.2,Man City,84,4.55,78,3.52,75,3.09,0.97
F,351,Haaland,14.8,14.8,Man City,45,4.23,64,4.99,82,5.34,0.00
F,352,J.Alvarez,7.0,7.0,Man City,0,0.00,0,0.00,0,0.00,0.00
D,353,João Cancelo,5.3,5.3,Man City,0,0.00,0,0.00,0,0.00,0.00
M,354,Kovačić,5.4,5.4,Man City,48,1.99,46,1.75,38,1.37,0.00
D,355,Lewis,4.3,4.3,Man City,23,1.16,23,1.05,20,0.81,0.01
M,356,Matheus N.,4.9,4.9,Man City,66,2.73,61,2.31,56,1.94,0.00
M,357,McAtee,4.6,4.6,Man City,20,1.69,21,1.50,19,1.21,0.00
G,358,Ortega Moreno,5.2,5.2,Man City,2,0.08,6,0.25,7,0.28,0.00
M,359,Phillips,4.8,4.8,Ipswich,43,1.41,40,1.36,41,1.36,0.00
M,360,Rodrigo,6.2,6.2,Man City,0,0.00,6,0.25,29,1.07,0.00
D,361,Rúben,5.5,5.5,Man City,88,4.19,81,3.18,77,2.79,0.30
D,362,Stones,5.3,5.3,Man City,0,0.00,4,0.20,16,0.70,0.00
D,363,Walker,5.1,5.1,Man City,0,0.00,0,0.00,0,0.00,0.00
M,364,Amad,5.3,5.3,Man Utd,62,3.51,75,2.93,74,3.54,0.00
M,365,Antony,5.7,5.7,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,366,B.Fernandes,8.5,8.5,Man Utd,68,4.46,69,3.07,68,3.69,0.01
G,367,Bayindir,4.3,4.3,Man Utd,25,0.95,26,0.86,22,0.77,0.00
M,368,Casemiro,4.6,4.6,Man Utd,40,1.78,41,1.44,39,1.55,0.00
D,369,Dalot,5.0,5.0,Man Utd,0,0.00,0,0.00,28,0.91,0.00
M,370,Eriksen,5.2,5.2,Man Utd,37,1.98,35,1.42,32,1.49,0.00
D,371,Evans,4.4,4.4,Man Utd,13,0.52,10,0.26,5,0.17,0.00
M,372,Garnacho,5.9,5.9,Man Utd,45,2.73,45,1.95,41,2.15,0.00
M,373,Hannibal,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0.00
G,374,Heaton,3.9,3.9,Man Utd,0,0.00,0,0.00,0,0.00,0.00
F,375,Højlund,6.9,6.9,Man Utd,44,2.83,43,1.99,44,2.33,0.00
D,376,Lindelof,4.3,4.3,Man Utd,49,1.80,39,0.82,29,0.90,0.00
D,377,Maguire,4.9,4.9,Man Utd,45,1.89,42,1.01,32,1.11,0.00
M,378,Mainoo,5.2,5.2,Man Utd,51,1.94,49,1.55,49,1.68,0.00
D,379,Malacia,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0.00
D,380,Martinez,4.3,4.3,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,381,McTominay,4.9,4.9,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,382,Mount,6.3,6.3,Man Utd,58,3.40,52,2.20,49,2.41,0.00
G,383,Onana,4.9,4.9,Man Utd,69,2.73,68,2.27,72,2.57,0.00
M,384,Pellistri,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,385,Rashford,6.6,6.6,Aston Villa,0,0.00,20,1.76,0,0.00,0.04
M,386,Sancho,6.2,6.2,Chelsea,41,1.96,0,0.00,44,2.34,0.00
D,387,Shaw,4.9,4.9,Man Utd,64,2.65,54,1.25,52,1.74,0.00
D,388,Wan-Bissaka,4.4,4.4,West Ham,91,2.46,86,3.05,85,3.24,0.05
F,389,Zirkzee,6.5,6.5,Man Utd,0,0.00,0,0.00,0,0.00,0.00
D,390,A.Murphy,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0.00
M,391,Almirón,5.4,5.4,Newcastle,0,0.00,0,0.00,0,0.00,0.00
M,392,Barnes,6.0,6.0,Newcastle,56,3.23,54,2.65,49,3.29,0.00
D,393,Botman,4.4,4.4,Newcastle,35,1.24,41,1.27,55,2.58,0.00
M,394,Bruno G.,6.2,6.2,Newcastle,90,3.13,87,2.71,85,3.48,0.00
D,395,Burn,4.5,4.5,Newcastle,88,2.76,79,2.14,76,3.40,0.12
G,396,Dúbravka,4.0,4.0,Newcastle,1,0.04,3,0.10,3,0.14,0.00
M,397,Fraser,4.8,4.8,Southampton,0,0.00,0,0.00,1,0.10,0.00
M,398,Gordon,7.4,7.4,Newcastle,68,3.54,69,3.00,70,4.10,0.00
D,399,Hall,4.7,4.7,Newcastle,0,0.00,0,0.00,0,0.00,0.00
M,400,Hayden,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0.00
F,401,Isak,9.6,9.4,Newcastle,79,4.98,75,3.79,72,5.19,0.90
M,402,J.Murphy,5.3,5.3,Newcastle,65,3.17,59,2.48,57,3.17,0.16
M,403,Joelinton,6.0,6.0,Newcastle,0,0.00,0,0.00,34,1.47,0.00
D,404,Kelly,4.2,4.2,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,405,Krafth,4.3,4.3,Newcastle,29,0.99,14,0.44,12,0.51,0.00
M,406,Kuol,4.4,4.4,Newcastle,0,0.00,1,0.10,1,0.13,0.00
D,407,Lascelles,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,408,Lewis,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,409,Livramento,4.6,4.5,Newcastle,88,2.95,83,2.51,79,3.77,0.55
M,410,Longstaff,4.4,4.4,Newcastle,11,0.52,13,0.53,12,0.56,0.00
M,411,Miley,5.0,5.0,Newcastle,28,1.22,32,1.23,23,1.12,0.00
G,412,Odysseas,4.2,4.2,Newcastle,0,0.00,0,0.00,0,0.00,0.00
G,413,Pope,5.0,5.0,Newcastle,94,3.43,92,3.30,92,3.93,0.16
G,414,Ruddy,3.9,3.9,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,415,Schär,5.6,5.6,Newcastle,67,2.29,87,2.52,84,3.94,0.01
D,416,Targett,3.9,3.9,Newcastle,0,0.00,0,0.00,3,0.13,0.00
M,417,Tonali,5.5,5.5,Newcastle,90,3.30,87,2.75,82,3.48,0.00
D,418,Trippier,5.7,5.7,Newcastle,60,2.53,72,2.60,66,3.84,0.09
M,419,White,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0.00
M,420,Willock,4.7,4.7,Newcastle,66,2.71,65,2.38,53,2.52,0.00
F,421,Wilson,6.9,6.9,Newcastle,21,1.48,22,1.33,24,1.77,0.00
D,422,Aina,5.2,5.2,Nott'm Forest,89,4.50,86,2.95,84,2.44,0.00
M,423,Anderson,5.0,5.0,Nott'm Forest,86,3.57,81,2.67,81,2.50,0.00
F,424,Awoniyi,5.5,5.5,Nott'm Forest,12,0.95,14,0.85,14,0.81,0.00
D,425,Boly,4.2,4.2,Nott'm Forest,10,0.47,7,0.26,9,0.27,0.00
M,426,Bowler,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
G,427,C.Miguel,4.1,4.1,Nott'm Forest,1,0.06,1,0.05,2,0.07,0.00
M,428,Da Silva Moreira,4.3,4.3,Nott'm Forest,1,0.04,1,0.05,1,0.04,0.00
M,429,Danilo,4.7,4.7,Nott'm Forest,28,1.44,27,1.18,24,1.03,0.00
F,430,Dennis,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,431,Dominguez,4.8,4.8,Nott'm Forest,59,2.61,53,1.92,51,1.71,0.00
M,432,Elanga,5.5,5.5,Nott'm Forest,66,4.34,61,3.00,56,2.65,0.00
M,433,Gibbs-White,6.4,6.4,Nott'm Forest,84,5.17,81,3.68,79,3.38,0.00
M,434,Hudson-Odoi,5.1,5.1,Nott'm Forest,0,0.00,31,1.42,60,2.52,0.00
M,435,Mighten,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,436,Murillo,4.8,4.8,Nott'm Forest,65,3.32,84,2.82,80,2.24,0.01
D,437,N.Williams,4.5,4.5,Nott'm Forest,88,4.72,83,2.93,82,2.46,0.20
D,438,O.Richards,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,439,O'Brien,5.0,5.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,440,Omobamidele,4.2,4.2,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,441,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,442,Sangaré,4.3,4.3,Nott'm Forest,27,1.17,27,1.00,24,0.91,0.00
G,443,Sels,5.2,5.2,Nott'm Forest,94,4.08,93,3.44,93,3.26,0.02
D,444,Toffolo,4.2,4.2,Nott'm Forest,1,0.07,3,0.11,4,0.13,0.00
G,445,Turner,3.9,3.9,Crystal Palace,1,0.05,2,0.09,3,0.10,0.00
F,446,Ui-jo,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
F,447,Wood,7.1,7.1,Nott'm Forest,87,6.08,85,4.34,82,4.00,0.02
D,448,Worrall,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,449,Yates,4.8,4.8,Nott'm Forest,43,1.82,42,1.49,41,1.39,0.00
M,450,Alcaraz,4.7,4.7,Everton,49,1.92,50,2.65,50,1.83,0.00
M,451,Amo-Ameyaw,4.4,4.4,Southampton,0,0.00,0,0.00,0,0.00,0.00
M,452,Aribo,4.9,4.9,Southampton,22,0.88,24,0.95,25,0.94,0.00
F,453,Armstrong,5.1,5.1,Southampton,0,0.00,0,0.00,0,0.00,0.00
G,454,Bazunu,4.3,4.3,Southampton,0,0.00,0,0.00,0,0.00,0.00
D,455,Bednarek,4.0,4.0,Southampton,90,1.01,88,1.96,86,1.47,0.00
D,456,Bella-Kotchap,3.9,3.9,Southampton,3,0.05,3,0.07,5,0.09,0.00
D,457,Bree,3.9,3.9,Southampton,7,0.22,10,0.35,10,0.32,0.00
M,458,Charles,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0.00
M,459,Edozie,4.9,4.9,Southampton,0,0.00,0,0.00,0,0.00,0.00
D,460,Edwards,3.9,3.9,Southampton,0,0.00,0,0.00,0,0.00,0.00
D,461,Harwood-Bellis,3.9,3.9,Southampton,91,1.05,88,1.99,85,1.49,0.00
M,462,Kamaldeen,5.0,5.0,Southampton,73,2.54,72,2.68,71,2.49,0.00
M,463,Lallana,5.0,5.0,Southampton,0,0.00,0,0.00,1,0.09,0.00
D,464,Larios,3.9,3.9,Southampton,0,0.00,0,0.00,0,0.00,0.00
G,465,Lis,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0.00
G,466,Lumley,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0.00
D,467,Manning,4.3,4.3,Southampton,79,1.47,76,2.35,73,1.86,0.00
F,468,Mara,5.0,5.0,Southampton,0,0.00,0,0.00,0,0.00,0.00
G,469,McCarthy,4.2,4.2,Southampton,1,0.05,2,0.06,2,0.08,0.00
F,470,Onuachu,4.9,4.9,Southampton,57,2.45,57,2.55,54,2.29,0.00
M,471,Smallbone,5.0,5.0,Southampton,16,0.70,19,0.82,20,0.87,0.00
D,472,Stephens,4.0,4.0,Southampton,80,1.04,79,1.90,77,1.45,0.00
F,473,Stewart,4.4,4.4,Southampton,32,1.53,33,1.64,33,1.53,0.00
D,474,Sugawara,4.2,4.2,Southampton,14,0.39,18,0.66,22,0.71,0.00
D,475,Taylor,3.9,3.9,Southampton,0,0.00,0,0.00,2,0.05,0.00
D,476,Walker-Peters,4.2,4.2,Southampton,90,1.20,87,2.14,83,1.60,0.00
D,477,Wood,4.0,4.0,Southampton,3,0.07,4,0.12,5,0.13,0.00
D,478,A.Phillips,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
G,479,Austin,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,480,Bentancur,4.9,4.9,Spurs,48,1.67,47,1.47,43,1.48,0.00
M,481,Bergvall,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,482,Bissouma,4.8,4.8,Spurs,57,1.90,56,1.63,60,1.91,0.00
M,483,Bryan,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,484,Davies,4.3,4.3,Spurs,52,1.46,53,0.90,53,1.30,0.00
M,485,Devine,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,486,Dragusin,4.3,4.3,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,487,E.Royal,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0.00
G,488,Forster,4.3,4.3,Spurs,1,0.05,2,0.05,0,0.00,0.00
M,489,Gray,4.6,4.6,Spurs,47,1.35,49,1.27,52,1.41,0.00
M,490,Højbjerg,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,491,Johnson,6.2,6.2,Spurs,59,3.16,56,2.50,56,3.03,0.00
M,492,Kulusevski,6.2,6.2,Spurs,70,3.07,73,2.67,69,2.99,0.00
M,493,Lo Celso,4.9,4.9,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,494,Maddison,7.4,7.4,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,495,Pedro Porro,5.3,5.3,Spurs,37,1.46,36,0.92,38,1.33,0.00
D,496,Reguilón,4.1,4.1,Spurs,13,0.51,13,0.38,14,0.52,0.00
F,497,Richarlison,6.8,6.8,Spurs,52,2.90,49,2.32,47,2.70,0.00
D,498,Romero,4.9,4.9,Spurs,32,1.08,32,0.74,28,0.87,0.00
M,499,P.M.Sarr,4.7,4.7,Spurs,66,2.27,62,1.88,62,2.14,0.00
F,500,Scarlett,4.4,4.4,Spurs,4,0.28,4,0.26,4,0.30,0.00
M,501,Skipp,4.7,4.7,Leicester,55,1.50,57,1.77,56,1.49,0.00
M,502,Solomon,5.4,5.4,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,503,Son,9.7,9.7,Spurs,15,1.12,26,1.55,33,2.30,0.00
D,504,Spence,4.4,4.4,Spurs,74,2.34,72,1.36,70,1.89,0.00
D,505,Udogie,4.8,4.8,Spurs,32,1.21,34,0.86,32,1.07,0.00
D,506,Van de Ven,4.5,4.5,Spurs,30,0.98,29,0.62,27,0.76,0.00
F,507,Veliz,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
G,508,Vicario,4.8,4.8,Spurs,71,2.54,75,2.56,73,2.46,0.00
M,509,Werner,6.2,6.2,Spurs,16,0.99,14,0.77,18,1.17,0.00
G,510,Whiteman,3.9,3.9,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,511,Álvarez,5.0,5.0,West Ham,24,0.89,27,1.00,29,1.11,0.00
F,512,Antonio,5.2,5.2,West Ham,0,0.00,0,0.00,0,0.00,0.00
G,513,Areola,4.2,4.2,West Ham,94,3.26,93,3.46,92,3.56,0.28
M,514,Bowen,7.7,7.7,West Ham,89,4.21,87,4.57,86,5.00,0.19
M,515,Cornet,4.7,4.7,Southampton,0,0.00,0,0.00,0,0.00,0.00
D,516,Coufal,4.1,4.1,West Ham,26,0.83,31,1.17,32,1.27,0.00
D,517,Cresswell,3.9,3.9,West Ham,22,0.77,23,0.94,26,1.08,0.00
M,518,Downes,4.7,4.7,Southampton,67,1.65,65,1.69,64,1.61,0.00
M,519,Earthy,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0.00
D,520,Emerson,4.4,4.4,West Ham,63,2.01,62,2.47,60,2.58,0.00
G,521,Fabianski,4.0,4.0,West Ham,1,0.04,2,0.09,3,0.11,0.01
G,522,Foderingham,4.2,4.2,West Ham,0,0.00,0,0.00,0,0.00,0.00
F,523,Ings,4.8,4.8,West Ham,0,0.00,1,0.09,2,0.16,0.00
D,524,Kilman,4.3,4.3,West Ham,91,2.33,89,2.95,86,3.13,0.02
M,525,Kudus,6.2,6.2,West Ham,82,3.40,81,3.67,79,3.95,0.00
M,526,L.Guilherme,4.6,4.6,West Ham,11,0.56,14,0.74,14,0.78,0.00
M,527,L.Paquetá,5.7,5.7,West Ham,74,3.07,72,3.32,72,3.54,0.00
D,528,Mavropanos,4.3,4.3,West Ham,39,1.17,41,1.51,39,1.59,0.00
D,529,N.Aguerd,4.4,4.4,West Ham,0,0.00,0,0.00,0,0.00,0.00
